"","CONDITION","ID","TIME","DV","YTYPE","TAD","MDV","AMT","RATE","ADDL","II","SPECIES","DOSE","ROUTE","FORMULATION","BQL","WT","LVW","CMT2","IXGDF","USUBJID","EVID","CENS","ADM","TINF","TIMEPOS"
"178","79",79,0,NA,NA,1,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,178,"SJ74",1,0,0,0,0
"179","79",79,1,309.4,1,1,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,179,"SJ74",0,0,NA,0,1
"180","80",80,0,NA,NA,1,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,180,"SJ75",1,0,0,0,0
"181","80",80,1,72.4,1,1,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,181,"SJ75",0,0,NA,0,1
"182","81",81,0,NA,NA,1,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,182,"SJ76",1,0,0,0,0
"183","81",81,1,17.6,1,1,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,183,"SJ76",0,0,NA,0,1
"184","82",82,0,NA,NA,2,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,184,"SJ77",1,0,0,0,0
"185","82",82,2,4.5,1,2,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,185,"SJ77",0,0,NA,0,2
"186","83",83,0,NA,NA,2,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,186,"SJ78",1,0,0,0,0
"187","83",83,2,4.5,1,2,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,187,"SJ78",0,0,NA,0,2
"188","84",84,0,NA,NA,2,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,188,"SJ79",1,0,0,0,0
"189","84",84,2,9.8,1,2,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,189,"SJ79",0,0,NA,0,2
"190","85",85,0,NA,NA,4,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,190,"SJ80",1,0,0,0,0
"191","85",85,4,5.4,1,4,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,191,"SJ80",0,0,NA,0,4
"192","86",86,0,NA,NA,4,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,192,"SJ81",1,0,0,0,0
"193","86",86,4,0.2,1,4,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,193,"SJ81",0,0,NA,0,4
"194","87",87,0,NA,NA,4,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,194,"SJ82",1,0,0,0,0
"195","87",87,4,13.6,1,4,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,195,"SJ82",0,0,NA,0,4
"196","88",88,0,NA,NA,6,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,196,"SJ83",1,0,0,0,0
"197","88",88,6,16.1,1,6,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,197,"SJ83",0,0,NA,0,6
"198","89",89,0,NA,NA,6,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,198,"SJ84",1,0,0,0,0
"199","89",89,6,0.4,1,6,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,199,"SJ84",0,0,NA,0,6
"200","90",90,0,NA,NA,6,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,200,"SJ85",1,0,0,0,0
"201","90",90,6,0.6,1,6,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,201,"SJ85",0,0,NA,0,6
"202","91",91,0,NA,NA,8,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,202,"SJ86",1,0,0,0,0
"203","91",91,8,0.5,1,8,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,203,"SJ86",0,0,NA,0,8
"204","92",92,0,NA,NA,8,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,204,"SJ87",1,0,0,0,0
"205","92",92,8,0.6,1,8,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,205,"SJ87",0,0,NA,0,8
"206","93",93,0,NA,NA,8,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,206,"SJ88",1,0,0,0,0
"207","93",93,8,3.5,1,8,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,207,"SJ88",0,0,NA,0,8
"208","94",94,0,NA,NA,12,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,208,"SJ89",1,0,0,0,0
"209","94",94,12,0.4,1,12,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,209,"SJ89",0,0,NA,0,12
"210","95",95,0,NA,NA,12,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,210,"SJ90",1,0,0,0,0
"211","95",95,12,0.6,1,12,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,211,"SJ90",0,0,NA,0,12
"212","96",96,0,NA,NA,12,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,212,"SJ91",1,0,0,0,0
"213","96",96,12,6.8,1,12,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,213,"SJ91",0,0,NA,0,12
"214","97",97,0,NA,NA,24,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,214,"SJ92",1,0,0,0,0
"215","97",97,24,0.4,1,24,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,215,"SJ92",0,0,NA,0,24
"216","98",98,0,NA,NA,24,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,216,"SJ93",1,0,0,0,0
"217","98",98,24,2.2,1,24,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,217,"SJ93",0,0,NA,0,24
"218","99",99,0,NA,NA,24,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,218,"SJ94",1,0,0,0,0
"219","99",99,24,0.9,1,24,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,219,"SJ94",0,0,NA,0,24
"220","103",103,0,NA,NA,0.25,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,220,"SJ95",1,0,0,0,0
"221","103",103,0,0,1,0.25,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,221,"SJ95",0,0,NA,0,0
"222","103",103,0.25,17.2,1,0.25,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,222,"SJ95",0,0,NA,0,0.25
"223","104",104,0,NA,NA,0.25,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,223,"SJ96",1,0,0,0,0
"224","104",104,0,0,1,0.25,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,224,"SJ96",0,0,NA,0,0
"225","104",104,0.25,12.8,1,0.25,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,225,"SJ96",0,0,NA,0,0.25
"226","105",105,0,NA,NA,0.25,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,226,"SJ97",1,0,0,0,0
"227","105",105,0,0,1,0.25,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,227,"SJ97",0,0,NA,0,0
"228","105",105,0.25,42.3,1,0.25,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,228,"SJ97",0,0,NA,0,0.25
"229","106",106,0,NA,NA,0.5,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,229,"SJ98",1,0,0,0,0
"230","106",106,0,0,1,0.5,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,230,"SJ98",0,0,NA,0,0
"231","106",106,0.5,8.7,1,0.5,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,231,"SJ98",0,0,NA,0,0.5
"232","107",107,0,NA,NA,0.5,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,232,"SJ99",1,0,0,0,0
"233","107",107,0,0,1,0.5,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,233,"SJ99",0,0,NA,0,0
"234","107",107,0.5,13.4,1,0.5,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,234,"SJ99",0,0,NA,0,0.5
"235","108",108,0,NA,NA,0.5,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,235,"SJ100",1,0,0,0,0
"236","108",108,0,0,1,0.5,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,236,"SJ100",0,0,NA,0,0
"237","108",108,0.5,12.6,1,0.5,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,237,"SJ100",0,0,NA,0,0.5
"238","109",109,0,NA,NA,1,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,238,"SJ101",1,0,0,0,0
"239","109",109,0,0,1,1,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,239,"SJ101",0,0,NA,0,0
"240","109",109,1,8.3,1,1,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,240,"SJ101",0,0,NA,0,1
"241","110",110,0,NA,NA,1,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,241,"SJ102",1,0,0,0,0
"242","110",110,0,0,1,1,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,242,"SJ102",0,0,NA,0,0
"243","110",110,1,5.6,1,1,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,243,"SJ102",0,0,NA,0,1
"244","111",111,0,NA,NA,1,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,244,"SJ103",1,0,0,0,0
"245","111",111,0,0,1,1,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,245,"SJ103",0,0,NA,0,0
"246","111",111,1,8.9,1,1,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,246,"SJ103",0,0,NA,0,1
"247","112",112,0,NA,NA,2,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,247,"SJ104",1,0,0,0,0
"248","112",112,0,0,1,2,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,248,"SJ104",0,0,NA,0,0
"249","112",112,2,25.7,1,2,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,249,"SJ104",0,0,NA,0,2
"250","113",113,0,NA,NA,2,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,250,"SJ105",1,0,0,0,0
"251","113",113,0,0,1,2,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,251,"SJ105",0,0,NA,0,0
"252","113",113,2,0.4,1,2,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,252,"SJ105",0,0,NA,0,2
"253","114",114,0,NA,NA,2,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,253,"SJ106",1,0,0,0,0
"254","114",114,0,0,1,2,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,254,"SJ106",0,0,NA,0,0
"255","114",114,2,24,1,2,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,255,"SJ106",0,0,NA,0,2
"256","115",115,0,NA,NA,4,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,256,"SJ107",1,0,0,0,0
"257","115",115,0,0,1,4,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,257,"SJ107",0,0,NA,0,0
"258","115",115,4,1.7,1,4,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,258,"SJ107",0,0,NA,0,4
"259","116",116,0,NA,NA,4,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,259,"SJ108",1,0,0,0,0
"260","116",116,0,0,1,4,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,260,"SJ108",0,0,NA,0,0
"261","116",116,4,0.9,1,4,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,261,"SJ108",0,0,NA,0,4
"262","117",117,0,NA,NA,4,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,262,"SJ109",1,0,0,0,0
"263","117",117,0,0,1,4,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,263,"SJ109",0,0,NA,0,0
"264","117",117,4,0.3,1,4,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,264,"SJ109",0,0,NA,0,4
"265","118",118,0,NA,NA,6,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,265,"SJ110",1,0,0,0,0
"266","118",118,0,0,1,6,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,266,"SJ110",0,0,NA,0,0
"267","118",118,6,0.9,1,6,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,267,"SJ110",0,0,NA,0,6
"268","119",119,0,NA,NA,6,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,268,"SJ111",1,0,0,0,0
"269","119",119,0,0,1,6,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,269,"SJ111",0,0,NA,0,0
"270","119",119,6,3,1,6,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,270,"SJ111",0,0,NA,0,6
"271","120",120,0,NA,NA,6,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,271,"SJ112",1,0,0,0,0
"272","120",120,0,0,1,6,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,272,"SJ112",0,0,NA,0,0
"273","120",120,6,3.8,1,6,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,273,"SJ112",0,0,NA,0,6
"274","121",121,0,NA,NA,8,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,274,"SJ113",1,0,0,0,0
"275","121",121,0,0,1,8,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,275,"SJ113",0,0,NA,0,0
"276","121",121,8,0.8,1,8,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,276,"SJ113",0,0,NA,0,8
"277","122",122,0,NA,NA,8,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,277,"SJ114",1,0,0,0,0
"278","122",122,0,0,1,8,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,278,"SJ114",0,0,NA,0,0
"279","122",122,8,1.2,1,8,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,279,"SJ114",0,0,NA,0,8
"280","123",123,0,NA,NA,8,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,280,"SJ115",1,0,0,0,0
"281","123",123,0,0,1,8,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,281,"SJ115",0,0,NA,0,0
"282","123",123,8,0.9,1,8,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,282,"SJ115",0,0,NA,0,8
"283","124",124,0,NA,NA,12,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,283,"SJ116",1,0,0,0,0
"284","124",124,0,0,1,12,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,284,"SJ116",0,0,NA,0,0
"285","124",124,12,2.8,1,12,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,285,"SJ116",0,0,NA,0,12
"286","125",125,0,NA,NA,12,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,286,"SJ117",1,0,0,0,0
"287","125",125,0,0,1,12,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,287,"SJ117",0,0,NA,0,0
"288","125",125,12,56.2,1,12,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,288,"SJ117",0,0,NA,0,12
"289","126",126,0,NA,NA,12,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,289,"SJ118",1,0,0,0,0
"290","126",126,0,0,1,12,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,290,"SJ118",0,0,NA,0,0
"291","126",126,12,0.8,1,12,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,291,"SJ118",0,0,NA,0,12
"292","127",127,0,NA,NA,24,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,292,"SJ119",1,0,0,0,0
"293","127",127,0,0,1,24,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,293,"SJ119",0,0,NA,0,0
"294","127",127,24,3.9,1,24,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,294,"SJ119",0,0,NA,0,24
"295","128",128,0,NA,NA,24,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,295,"SJ120",1,0,0,0,0
"296","128",128,0,0,1,24,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,296,"SJ120",0,0,NA,0,0
"297","128",128,24,0.4,1,24,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,297,"SJ120",0,0,NA,0,24
"298","129",129,0,NA,NA,24,1,280000,NA,0,0,1,10,2,1,0,28,1.4,1,298,"SJ121",1,0,0,0,0
"299","129",129,0,0,1,24,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,299,"SJ121",0,0,NA,0,0
"300","129",129,24,1.4,1,24,0,NA,NA,0,0,1,10,2,1,0,28,1.4,2,300,"SJ121",0,0,NA,0,24
"301","133",133,0,NA,NA,0.25,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,301,"SJ122",1,0,0,0,0
"302","133",133,0,0,1,0.25,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,302,"SJ122",0,0,NA,0,0
"303","133",133,0.25,79.8,1,0.25,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,303,"SJ122",0,0,NA,0,0.25
"304","134",134,0,NA,NA,0.25,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,304,"SJ123",1,0,0,0,0
"305","134",134,0,0,1,0.25,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,305,"SJ123",0,0,NA,0,0
"306","134",134,0.25,68.5,1,0.25,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,306,"SJ123",0,0,NA,0,0.25
"307","135",135,0,NA,NA,0.25,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,307,"SJ124",1,0,0,0,0
"308","135",135,0,0,1,0.25,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,308,"SJ124",0,0,NA,0,0
"309","135",135,0.25,68.2,1,0.25,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,309,"SJ124",0,0,NA,0,0.25
"310","136",136,0,NA,NA,0.5,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,310,"SJ125",1,0,0,0,0
"311","136",136,0,0,1,0.5,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,311,"SJ125",0,0,NA,0,0
"312","136",136,0.5,51,1,0.5,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,312,"SJ125",0,0,NA,0,0.5
"313","137",137,0,NA,NA,0.5,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,313,"SJ126",1,0,0,0,0
"314","137",137,0,0,1,0.5,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,314,"SJ126",0,0,NA,0,0
"315","137",137,0.5,33.7,1,0.5,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,315,"SJ126",0,0,NA,0,0.5
"316","138",138,0,NA,NA,0.5,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,316,"SJ127",1,0,0,0,0
"317","138",138,0,0,1,0.5,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,317,"SJ127",0,0,NA,0,0
"318","138",138,0.5,4.6,1,0.5,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,318,"SJ127",0,0,NA,0,0.5
"319","139",139,0,NA,NA,1,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,319,"SJ128",1,0,0,0,0
"320","139",139,0,0,1,1,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,320,"SJ128",0,0,NA,0,0
"321","139",139,1,114.8,1,1,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,321,"SJ128",0,0,NA,0,1
"322","140",140,0,NA,NA,1,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,322,"SJ129",1,0,0,0,0
"323","140",140,0,0,1,1,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,323,"SJ129",0,0,NA,0,0
"324","140",140,1,17.8,1,1,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,324,"SJ129",0,0,NA,0,1
"325","141",141,0,NA,NA,1,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,325,"SJ130",1,0,0,0,0
"326","141",141,0,0,1,1,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,326,"SJ130",0,0,NA,0,0
"327","141",141,1,32.7,1,1,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,327,"SJ130",0,0,NA,0,1
"328","142",142,0,NA,NA,2,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,328,"SJ131",1,0,0,0,0
"329","142",142,0,0,1,2,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,329,"SJ131",0,0,NA,0,0
"330","142",142,2,3.6,1,2,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,330,"SJ131",0,0,NA,0,2
"331","143",143,0,NA,NA,2,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,331,"SJ132",1,0,0,0,0
"332","143",143,0,0,1,2,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,332,"SJ132",0,0,NA,0,0
"333","143",143,2,72.6,1,2,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,333,"SJ132",0,0,NA,0,2
"334","144",144,0,NA,NA,2,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,334,"SJ133",1,0,0,0,0
"335","144",144,0,0,1,2,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,335,"SJ133",0,0,NA,0,0
"336","144",144,2,2.2,1,2,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,336,"SJ133",0,0,NA,0,2
"337","145",145,0,NA,NA,4,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,337,"SJ134",1,0,0,0,0
"338","145",145,0,0,1,4,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,338,"SJ134",0,0,NA,0,0
"339","145",145,4,2.5,1,4,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,339,"SJ134",0,0,NA,0,4
"340","146",146,0,NA,NA,4,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,340,"SJ135",1,0,0,0,0
"341","146",146,0,0,1,4,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,341,"SJ135",0,0,NA,0,0
"342","146",146,4,14.4,1,4,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,342,"SJ135",0,0,NA,0,4
"343","147",147,0,NA,NA,4,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,343,"SJ136",1,0,0,0,0
"344","147",147,0,0,1,4,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,344,"SJ136",0,0,NA,0,0
"345","147",147,4,2.3,1,4,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,345,"SJ136",0,0,NA,0,4
"346","148",148,0,NA,NA,6,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,346,"SJ137",1,0,0,0,0
"347","148",148,0,0,1,6,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,347,"SJ137",0,0,NA,0,0
"348","148",148,6,1.1,1,6,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,348,"SJ137",0,0,NA,0,6
"349","149",149,0,NA,NA,6,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,349,"SJ138",1,0,0,0,0
"350","149",149,0,0,1,6,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,350,"SJ138",0,0,NA,0,0
"351","149",149,6,4.8,1,6,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,351,"SJ138",0,0,NA,0,6
"352","150",150,0,NA,NA,6,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,352,"SJ139",1,0,0,0,0
"353","150",150,0,0,1,6,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,353,"SJ139",0,0,NA,0,0
"354","150",150,6,5.9,1,6,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,354,"SJ139",0,0,NA,0,6
"355","151",151,0,NA,NA,8,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,355,"SJ140",1,0,0,0,0
"356","151",151,0,0,1,8,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,356,"SJ140",0,0,NA,0,0
"357","151",151,8,0.7,1,8,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,357,"SJ140",0,0,NA,0,8
"358","152",152,0,NA,NA,8,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,358,"SJ141",1,0,0,0,0
"359","152",152,0,0,1,8,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,359,"SJ141",0,0,NA,0,0
"360","152",152,8,0.7,1,8,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,360,"SJ141",0,0,NA,0,8
"361","153",153,0,NA,NA,8,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,361,"SJ142",1,0,0,0,0
"362","153",153,0,0,1,8,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,362,"SJ142",0,0,NA,0,0
"363","153",153,8,1.3,1,8,0,NA,NA,0,0,1,25,2,1,0,28,1.4,2,363,"SJ142",0,0,NA,0,8
"364","154",154,0,NA,NA,12,1,7e+05,NA,0,0,1,25,2,1,0,28,1.4,1,364,"SJ143",1,0,0,0,0
