ID,GUT,CENT,PERI,INPUT1,INPUT2,KA,FP,Q,V2,V3,CL,Tlag1,Tlag2,USUBJID
1,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,1
2,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,2
3,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,3
4,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,4
5,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,5
6,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,6
7,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,7
8,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,8
9,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,9
10,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,10
11,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,11
12,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,12
13,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,13
14,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,14
15,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,15
16,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,16
17,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,17
18,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,18
19,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,19
20,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,20
21,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,21
25,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,25
26,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,26
27,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,27
29,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,29
30,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,30
31,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,31
32,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,32
33,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,33
67,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,67
68,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,68
69,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,69
70,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,70
71,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,71
72,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,72
73,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,73
74,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,74
75,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,75
76,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,76
77,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,77
78,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,78
79,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,79
80,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,80
81,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,81
82,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,82
83,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,83
84,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,84
85,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,85
86,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,86
87,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,87
88,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,88
89,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,89
90,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,90
91,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,91
92,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,92
93,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,93
94,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,94
95,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,95
96,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,96
97,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,97
98,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,98
99,0,0,0,0,0,0.5,0.2,605.049327341709,19.1983859820526,95.9906289443539,354.370910969534,0,0,99
